inputName,text,data,bss
values_11,288,8,8
values_19,288,8,8
values_12,288,8,8
values_38,288,8,8
values_81,288,8,8
values_5,288,8,8
values_40,288,8,8
values_70,288,8,8
values_23,288,8,8
values_72,288,8,8
values_79,288,8,8
values_78,288,8,8
values_87,288,8,8
values_6,288,8,8
values_68,288,8,8
values_69,288,8,8
values_1,288,8,8
values_45,288,8,8
values_33,288,8,8
values_15,288,8,8
values_93,288,8,8
values_24,288,8,8
values_25,288,8,8
values_26,288,8,8
values_48,288,8,8
values_71,288,8,8
values_76,288,8,8
values_7,288,8,8
values_50,288,8,8
values_22,288,8,8
values_4,288,8,8
values_32,288,8,8
values_77,288,8,8
values_91,288,8,8
values_42,288,8,8
values_13,288,8,8
values_41,288,8,8
values_55,288,8,8
values_31,288,8,8
values_66,288,8,8
values_65,288,8,8
values_62,288,8,8
values_21,288,8,8
values_95,288,8,8
values_84,288,8,8
values_58,288,8,8
values_64,288,8,8
values_83,288,8,8
values_94,288,8,8
values_0,288,8,8
values_99,288,8,8
values_96,288,8,8
values_67,288,8,8
values_61,288,8,8
values_43,288,8,8
values_2,288,8,8
values_54,288,8,8
values_30,288,8,8
values_59,288,8,8
values_85,288,8,8
values_74,288,8,8
values_90,288,8,8
values_18,288,8,8
values_52,288,8,8
values_44,288,8,8
values_17,288,8,8
values_36,288,8,8
values_49,288,8,8
values_86,288,8,8
values_37,288,8,8
values_56,288,8,8
values_63,288,8,8
values_35,288,8,8
values_97,288,8,8
values_75,288,8,8
values_57,288,8,8
values_88,288,8,8
values_10,288,8,8
values_53,288,8,8
values_8,288,8,8
values_39,288,8,8
values_47,288,8,8
values_60,288,8,8
values_89,288,8,8
values_51,288,8,8
values_14,288,8,8
values_28,288,8,8
values_16,288,8,8
values_34,288,8,8
values_82,288,8,8
values_46,288,8,8
values_27,288,8,8
values_20,288,8,8
values_9,288,8,8
values_92,288,8,8
values_3,288,8,8
values_98,288,8,8
values_29,288,8,8
values_80,288,8,8
values_73,288,8,8
